[2024-08-23T12:45:09.379+0530][0.019s][98688][9731][debug] Minimum heap 4294967296  Initial heap 4294967296  Maximum heap 4294967296
[2024-08-23T12:45:09.379+0530][0.020s][98688][9731][info ] Using G1
[2024-08-23T12:45:09.379+0530][0.020s][98688][9731][trace] Trying to allocate at address 0x0000000700000000 heap of size 0x100000000
[2024-08-23T12:45:09.379+0530][0.020s][98688][9731][debug] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2024-08-23T12:45:09.379+0530][0.020s][98688][9731][debug] Expand the heap. requested expansion amount: 4294967296B expansion amount: 4294967296B
[2024-08-23T12:45:09.380+0530][0.020s][98688][9731][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 4294967296B.
[2024-08-23T12:45:11.182+0530][1.823s][98688][9731][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 67108864B.
[2024-08-23T12:45:11.221+0530][1.861s][98688][9731][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 67108864B.
[2024-08-23T12:45:11.263+0530][1.903s][98688][9731][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 8388608B.
[2024-08-23T12:45:11.268+0530][1.909s][98688][9731][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 8388608B.
[2024-08-23T12:45:11.273+0530][1.914s][98688][9731][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 8388608B.
[2024-08-23T12:45:11.281+0530][1.921s][98688][9731][debug] Activate regions [0, 256)
[2024-08-23T12:45:11.291+0530][1.932s][98688][9731][debug] Clearing root 2085: was 0x00000007fef54bf8
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2086: was 0x00000007fef58e20
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2087: was 0x00000007fef5cdc0
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2088: was 0x00000007fef55540
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2089: was 0x00000007fef58890
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2090: was 0x00000007fef58d18
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2091: was 0x00000007fef55458
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2092: was 0x00000007fef5ad88
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2093: was 0x00000007fef61f70
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2094: was 0x00000007fef626b8
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2095: was 0x00000007fef61958
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2096: was 0x00000007fef616b0
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2097: was 0x00000007fef58c30
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2098: was 0x00000007fef58b08
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2099: was 0x00000007fef58788
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2100: was 0x00000007fef60b80
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2101: was 0x00000007fef5cb68
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2102: was 0x00000007fef5cf08
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2103: was 0x00000007fef5b510
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2104: was 0x00000007fef5ac60
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2105: was 0x00000007fef59e50
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2106: was 0x00000007fef61e48
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2107: was 0x00000007fef5e900
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2108: was 0x00000007fef5f210
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2109: was 0x00000007fef623f0
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2110: was 0x00000007fef59180
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2111: was 0x00000007fef611e0
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2112: was 0x00000007fef60ed0
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2113: was 0x00000007fef61b00
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2114: was 0x00000007fef5a1b8
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2115: was 0x00000007fef5efc0
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2116: was 0x00000007fef614e8
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2117: was 0x00000007fef59528
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2118: was 0x00000007fef5b888
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2119: was 0x00000007fef59098
[2024-08-23T12:45:11.292+0530][1.932s][98688][9731][debug] Clearing root 2120: was 0x00000007fef62ec8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2121: was 0x00000007fef5dc48
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2122: was 0x00000007fef62970
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2123: was 0x00000007fef60fb8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2124: was 0x00000007fef5ec90
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2125: was 0x00000007fef60d28
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2126: was 0x00000007fef5ea08
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2127: was 0x00000007fef5ee98
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2128: was 0x00000007fef62b38
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2129: was 0x00000007fef5f858
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2130: was 0x00000007fef55180
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2131: was 0x00000007fef5f518
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2132: was 0x00000007fef5c2b0
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2133: was 0x00000007fef62d00
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2134: was 0x00000007fef5c3b8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2135: was 0x00000007fef62138
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2136: was 0x00000007fef558b8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2137: was 0x00000007fef5d870
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2138: was 0x00000007fef5c5f0
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2139: was 0x00000007fef5f0c8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2140: was 0x00000007fef5f980
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2141: was 0x00000007fef605b0
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2142: was 0x00000007fef60808
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2143: was 0x00000007fef5fcb8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2144: was 0x00000007fef5f600
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2145: was 0x00000007fef5e6d8
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 2146: was 0x00000007fef5e5b0
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 18: was 0x00000007fef00938
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 97: was 0x00000007fef02a08
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 26: was 0x00000007fef00d58
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 373: was 0x00000007fef0a918
[2024-08-23T12:45:11.292+0530][1.933s][98688][9731][debug] Clearing root 363: was 0x00000007fef0a488
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 20: was 0x00000007fef009f0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 17: was 0x00000007fef008c8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.Object archived mirror 0x00000007fef008c8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 245: was 0x00000007fef06a78
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.Object; archived mirror 0x00000007fef06a78
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 1520: was 0x00000007fef29d40
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [[Ljava.lang.Object; archived mirror 0x00000007fef29d40
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 119: was 0x00000007fef03378
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.io.Serializable archived mirror 0x00000007fef03378
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 737: was 0x00000007fef143d0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.io.Serializable; archived mirror 0x00000007fef143d0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 312: was 0x00000007fef08d88
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.Comparable archived mirror 0x00000007fef08d88
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 741: was 0x00000007fef14590
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.Comparable; archived mirror 0x00000007fef14590
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 96: was 0x00000007fef02998
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.CharSequence archived mirror 0x00000007fef02998
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 315: was 0x00000007fef08ed8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.CharSequence; archived mirror 0x00000007fef08ed8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 313: was 0x00000007fef08df8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.constant.Constable archived mirror 0x00000007fef08df8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 732: was 0x00000007fef141a0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.constant.Constable; archived mirror 0x00000007fef141a0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 314: was 0x00000007fef08e68
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.constant.ConstantDesc archived mirror 0x00000007fef08e68
